;x;y;x;y;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS HV;HARDNESS HV;STIFFNESS N/m;STIFFNESS N/m;S2overP;S2overP;MODULUS GPa;MODULUS GPa;MODULUS GPa;MODULUS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;HARDNESS GPa;S2overP;S2overP;S2overP;S2overP;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis;LoadUnloadAnalysis
;absolut;absolut;real;real;mean;std;mean;std;mean;std;mean;std;mean;std;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Intercept;Coefficient;Slope%;R2_Score;Loading_A;Loading_n;Unloading_A;Unloading_n;hf;Area_Load;Area_Unload;Energy_Dissipated
Indent 54;16,002;20,003;17,403;19,188;181,0343307;1,296011068;3,277276426;0,06602445;309,7026223;6,239310542;280376,3025;52645,76912;11168233454;292012161,6;179,1514626;0,006461998;0,712492133;0,082149772;3,600539685;-0,001109438;-6,757162725;0,933011662;9863440033;4478046,942;8,003471059;0,777079768;0,000349971;1,746951941;4,72288E-05;3;342,1792631;1790,53187;232,5226995;1558,00917
Indent 55;16,002;24,003;17,67;23,057;215,7226853;7,492673372;5,794568955;0,465061628;547,5867662;43,94832383;307998,5636;50437,39916;8498312866;242727841,7;252,2580252;-0,127674718;-11,72595635;0,955440218;8,108607623;-0,008086533;-27,64906291;0,994880748;7457850997;3635950,175;8,476652762;0,738352869;0,001540644;1,570462292;0,008651545;1,828888921;343,144905;2886,059907;461,9740726;2424,085835
Indent 56;16,002;28,004;17,97;27,093;180,6344555;4,355149038;3,162059971;0,034006839;298,8146672;3,213646317;282708,3103;57089,5925;11533903634;565823421,5;159,5303101;0,072043755;7,968392;0,878170941;3,30450319;-0,000486262;-3,072381851;0,656146147;8721823997;9599667,349;16,6285665;0,923725546;0,000258766;1,795240724;4,57673E-05;3;343,0545244;1742,065673;218,0751516;1523,990522
Indent 57;16,002;32,004;18,337;30,995;207,1339347;3,799116428;4,685552006;0,362075691;442,7846645;34,2161528;306643,3838;53958,68433;9838099634;512469064,3;224,2574219;-0,059096855;-5,678977105;0,790421094;6,506626773;-0,006284923;-26,69907234;0,984228905;7358453795;8557793,622;17,31440602;0,910926429;0,001754511;1,517856348;0,000109549;2,750547438;334,5618372;2465,645021;340,5964566;2125,048565
Indent 58;16,002;36,004;18,704;34,965;208,2477575;3,208393193;3,481791779;0,191306299;329,0293231;18,07844521;313912,3936;55819,88685;13331709687;510754466,6;221,2133836;-0,044805084;-4,29532373;0,637961438;4,446090714;-0,003332311;-19,10696161;0,992538694;10978055872;8133479,672;12,17978091;0,829551654;0,000668728;1,642135745;0,00091247;2,393652685;352,275687;1891,578571;211,6891358;1679,889435
Indent 59;16,002;40,005;19,037;38,967;188,4377323;2,354884956;2,960684808;0,085682072;279,7847144;8,096955808;295948,473;56585,24589;13243689727;589414128,8;179,3706077;0,030751;3,262072954;0,554266053;3,36526689;-0,001372133;-9,264168026;0,833588797;10379143411;9715060,492;14,66353922;0,883057766;0,000425514;1,69823905;6,12109E-05;3;352,7420928;1658,761584;193,8429907;1464,918593
Indent 60;16,002;44,006;19,338;43,037;182,5733582;3,848740989;3,390680248;0,018877129;320,4192834;1,783888657;283445,0727;57243,35729;10947903289;376314513,8;164,4381961;0,062059462;6,768787064;0,858412954;3,354009393;0,00012549;0,736989003;0,145901897;9214991982;5930112,084;10,78629264;0,819863375;0,000210669;1,842655413;0,000365442;2,49158378;339,7284804;1847,198654;269,8234362;1577,375218
Indent 61;20,002;44,006;23,207;42,82;217,0919204;2,820804195;4,920475821;0,204012058;464,9849651;19,27913946;317650,9935;57188,10202;10099501049;292655884,5;228,0862273;-0,038088218;-3,484126789;0,599266877;5,944864652;-0,00354885;-14,32278555;0,994599972;8837390314;4372403,718;8,597403281;0,733687037;0,000748152;1,677163443;0,001262802;2,236207097;339,1082045;2561,091917;393,9269602;2167,164957
Indent 62;20,002;40,005;22,873;38,934;223,6523855;1,962937855;3,957044467;0,097779169;373,9407022;9,240131427;332555,6209;62344,82302;13184065586;348645690,1;225,8379146;-0,007542407;-0,673820631;0,049638794;4,430507951;-0,001633954;-8,250434019;0,938861253;11801538846;4771191,881;7,230784553;0,629650561;0,000309502;1,799575003;5,22603E-05;2,988862254;342,9069104;2127,021217;278,4980975;1848,523119
Indent 63;20,002;36,005;22,54;35,081;221,3222939;2,353942288;3,869645825;0,097718172;365,6815305;9,234367289;328371,7978;61831,5933;13248490946;244254105,7;214,6257238;0,023251343;2,090656245;0,314287921;3,528565921;0,001184273;6,090322441;0,47312518;13772753231;-1820305,35;-2,734245931;0,178907257;0,00016508;1,908939099;0,000662174;2,428825225;345,9084314;2096,937965;290,3989661;1806,538999
Indent 64;20,002;32,004;22,206;31,212;191,4272924;2,198059429;3,145505906;0,057549374;297,2503081;5,438415807;298656,6353;57117,28131;12792980374;410266788,2;184,4559592;0,023673606;2,469790286;0,387451038;3,393903723;-0,000843522;-5,355565871;0,717593271;11006281732;6067361,597;9,471694211;0,730523011;0,000339917;1,747738849;0,000479442;2,529389481;351,3649853;1749,805367;216,9260777;1532,879289
Indent 65;20,002;28,004;21,923;27,293;189,7806694;1,849534486;3,786008803;0,136412493;357,7778319;12,89098059;291318,4871;54625,70482;10483367170;430522489,9;186,8887513;0,009877324;1,040282156;0,092542649;4,437048903;-0,002223622;-11,7393285;0,86218806;8431020054;7009775,609;13,36494434;0,860210544;0,000581656;1,680894257;3,60651E-05;3;334,2799651;2056,294696;292,8353532;1763,459343
Indent 66;20,002;24,003;21,539;23,357;210,7746051;2,687088775;4,381417105;0,053993142;414,0439164;5,102351937;309680,4447;54518,15914;10788558480;202634118,9;218,7341419;-0,027798079;-2,616663613;0,335801195;4,418109956;-0,000128147;-0,580290212;0,017674877;11381629937;-2071257,071;-3,809096587;0,327838213;0,00027293;1,837570839;0,003078992;2,058956055;343,6202281;2301,664219;356,4889864;1945,175233
Indent 67;20,002;20,003;21,189;19,404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indent 68;20,002;16,002;20,855;15,518;183,0960904;2,515220074;3,284347642;0,042750064;310,3708521;4,039881074;282115,2314;53330,28102;11360304526;366558779,6;173,3229852;0,033725133;3,579580568;0,551793632;3,479575155;-0,000673693;-3,986305143;0,762205389;9657366986;5876514,479;10,05280788;0,788812347;0,000317831;1,765129163;3,75878E-05;2,999999978;331,5110721;1739,681541;228,9990888;1510,682452
Indent 69;20,002;12,001;20,522;11,549;206,1608505;5,563338104;5,168403085;0,401338463;488,4140915;37,92648477;302132,5913;51689,94098;8840029117;323011559;232,8015533;-0,092054018;-8,922805445;0,921152714;7,156773656;-0,006870596;-26,56457633;0,986016718;7324207826;5237753,716;11,84012402;0,88464916;0,001501611;1,558809898;0,001136964;2,273260962;340,7553127;2664,633253;404,708717;2259,924536
Indent 70;20,002;8,001;20,172;7,63;184,662161;5,285980361;3,556867049;0,062340649;336,1239361;5,891191302;286272,3322;59049,18998;10637597059;358164852,1;158,708579;0,088662432;9,578296347;0,916102717;3,266360221;0,000992427;5,566184384;0,825221819;8970492667;5695149,524;10,68041522;0,823304162;0,000154545;1,905277719;0,000216735;2,617664469;337,1978145;1933,959988;300,5958335;1633,364155
Indent 71;20,002;4,001;19,921;3,744;183,7217912;5,249998956;3,845479112;0,445454745;363,3977761;42,09547344;281145,0712;47602,98303;9834778530;671886437,3;208,9038255;-0,086100721;-9,311740182;0,902242078;6,049717438;-0,007536584;-38,94115262;0,960217923;6525146763;11316070,69;22,86208322;0,951540972;0,003494748;1,363733516;0,000416083;2,529646749;349,9306162;2072,507884;239,3394577;1833,168427
Indent 72;20,002;0;19,521;-0,075;182,7556394;2,479628648;3,187124528;0,057278219;301,1832679;5,412791736;284028,2399;54903,657;11673366249;448695749,8;172,862046;0,033904257;3,702966351;0,6080557;3,467508149;-0,000960844;-6,01755549;0,915239603;9578536123;7178752,627;12,27493481;0,832534519;0,00032671;1,755264529;5,04608E-05;3;343,9469575;1752,973646;214,2773312;1538,696315
Indent 73;24,003;0;23,34;-0,492;222,1401542;5,343977472;5,481426547;0,351762195;517,9948087;33,24152742;319571,5652;53853,01907;9424720634;280190641,8;248,0659354;-0,090207581;-8,082014543;0,911591133;7,260425132;-0,006189945;-22,47485244;0,990646037;8169283782;4368235,661;9,224465952;0,77758544;0,001199624;1,608737609;0,005327626;1,943405831;348,0628599;2799,962325;422,9364771;2377,025848
Indent 74;24,003;4,001;23,674;3,093;181,9101067;1,890275142;3,223805694;0,084266309;304,6496381;7,963166158;282787,0697;53829,98426;11452178731;428715333,8;177,4451008;0,015279606;1,678501188;0,215062311;3,645680976;-0,001443691;-8,948941362;0,966118713;9464457163;6802141,612;11,86926628;0,828596965;0,000376842;1,731225242;0,000208634;2,677811051;348,1708437;1765,815929;221,6416164;1544,174312
Indent 75;24,003;8,001;24,024;6,863;180,5111262;1,821093665;3,041359455;0,120263546;287,4084685;11,36490507;281392,0595;53885,65714;11990690792;563569901,6;178,1985066;0,007923395;0,876078142;0,063863351;3,640571352;-0,002052993;-13,47272032;0,983106822;9344764516;9065355,194;15,08954536;0,872906567;0,00044664;1,691222977;0,000103656;2,866741364;350,4700543;1667,419403;204,3077801;1463,111622
Indent 76;24,003;12,002;24,341;10,815;170,6562034;5,191659872;3,380537999;0,041601364;319,4608409;3,931328904;267410,5131;55916,86661;9790957253;580178923,9;145,0099264;0,087640177;10,21195428;0,921904954;3,505924945;-0,000428481;-2,520421136;0,34319382;6918287545;9816679,49;19,93733711;0,926184369;0,000242005;1,816348623;0,000453604;2,47545212;343,1053509;1822,425939;272,9447619;1549,481177
Indent 77;24,003;16,002;24,675;14,751;170,475875;1,66285049;3,521812109;0,149892799;332,8112443;14,16486954;264748,6525;50372,14222;9389892573;434021906,9;169,6665233;0,002772143;0,324631815;0,009331411;4,259467377;-0,002526573;-14,32201037;0,953947516;7342490400;7012639,531;14,90936867;0,876520633;0,000557618;1,674148838;0,00026398;2,574560721;342,2733147;1890,646459;274,0243878;1616,622072
Indent 78;24,003;20,003;25,092;18,704;189,1273022;1,966577498;3,991496495;0,188814697;377,1964188;17,84298888;290008,713;55566,00093;9894494086;500703373,4;186,8755262;0,007673206;0,810793992;0,051358964;4,896974708;-0,003085529;-15,44833959;0,900891348;7471951509;8255113,715;16,67313936;0,917000983;0,000725767;1,649588751;0,000192284;2,614658334;334,2894075;2147,225763;311,1778312;1836,047931
Indent 79;24,003;24,003;25,442;22,59;192,0197505;4,643335881;4,459420412;0,250920794;421,4152289;23,71201503;287317,1386;49134,81126;9077746611;221336637,4;213,4210066;-0,073785014;-7,652665734;0,840796199;5,713034722;-0,00432208;-19,30211525;0,987931851;8222469032;2948736,626;6,469167735;0,590989779;0,001013755;1,606051133;0,001306006;2,26125765;345,4716397;2339,425853;348,0247309;1991,401122
Indent 80;24,003;28,004;25,692;26,592;219,0158329;4,365299511;5,119903447;0,197645605;483,8308757;18,67750964;318867,3491;54806,32105;9842580733;156734969,1;239,3966965;-0,070569721;-6,441881136;0,854334968;6,114958067;-0,003445425;-13,45398027;0,993414814;9442408747;1385614,761;2,814513484;0,255489274;0,000803456;1,67106092;0,000223438;2,625220765;335,6846738;2683,204017;424,1944309;2259,009586
Indent 81;24,003;32,004;26,025;30,578;192,3269992;1,798199286;3,194249316;0,108073132;301,8565603;10,21291095;297371,4789;55157,39152;12706262434;483214162,7;191,3794926;0,003241101;0,335295792;0,010553928;3,737904495;-0,001859661;-11,58352825;0,961915502;10441606310;7746625,375;12,13027336;0,834930949;0,000525264;1,672596225;8,12024E-05;2,880191002;346,0955467;1761,799215;214,7270439;1547,072171
Indent 82;24,003;36,004;26,376;34,481;196,6213204;5,14436843;3,613421663;0,290018222;341,4683471;27,40672193;299783,5079;50324,52872;11683061828;472938407,4;220,7369574;-0,082556025;-8,361871989;0,84210026;5,069956082;-0,004986213;-27,48131391;0,966543462;9375770470;7898642,835;13,46421845;0,912065784;0,001492497;1,506275357;0,000125388;2,757162745;343,8642999;1965,799764;239,1402558;1726,659508
Indent 83;24,003;40,005;26,693;38,467;192,98695;1,967286859;3,103478182;0,076363475;293,2786882;7,216348379;300022,8675;56870,52944;13148007900;446269204,3;188,4459465;0,015471229;1,602394508;0,204819584;3,476989091;-0,001272554;-8,195965969;0,919683514;11045410421;7163563,424;10,89034745;0,853339066;0,00041325;1,711008684;5,49155E-05;3;347,1332858;1730,020082;207,0901555;1522,929926
Indent 84;24,003;44,006;26,993;42,47;198,1204634;1,974145068;3,511163487;0,090890148;331,8049495;8,589119002;300873,7826;55004,23141;12143594034;285407431,1;202,7125864;-0,015847432;-1,597971524;0,21196575;3,965151849;-0,001566715;-8,914121005;0,977355601;11037647965;3816623,66;6,278726497;0,588212344;0,0003613;1,752458823;4,22789E-05;3;339,9929203;1906,292465;253,0737243;1653,218741
Indent 85;28,003;44,006;30,962;42,245;193,9528733;2,1687757;4,101875432;0,387988375;387,6272284;36,66490139;294461,4325;53338,84542;10099001876;799220272,5;202,3608075;-0,028788586;-2,950485617;0,567968444;6,056502317;-0,006692601;-32,43260371;0,959102857;6063601434;13817124,57;27,19622337;0,96341891;0,002491138;1,435283351;0,001353489;2,255077783;352,9246719;2200,996162;278,2970941;1922,699068
Indent 86;28,003;40,005;30,645;38,384;219,1155164;6,52330453;5,556354831;0,433127493;525,0755315;40,93054813;311185,5998;51528,05618;9098244839;322396376;250,9002138;-0,112064831;-10,17767827;0,934247781;7,724001873;-0,007642577;-27,37173746;0,985613972;7639876771;5141838,186;11,24639408;0,80522122;0,001548266;1,563273209;0,00468976;1,962993893;347,0647244;2797,718566;403,2663539;2394,452212
Indent 87;28,003;36,004;30,378;34,514;180,7590389;2,23196344;3,347840301;0,224297774;316,3709084;21,19613966;282913,4701;53663,23732;10950832309;802360781;176,5999573;0,014110269;1,55841157;0,129732372;4,462726745;-0,003782409;-22,55540616;0,923079233;6922889982;13665360,5;24,91270382;0,941574614;0,00130166;1,51931831;0,000312665;2,571024137;349,2776551;1854,127301;223,9655199;1630,161781
Indent 88;28,003;32,004;29,986;30,687;195,1178759;2,401479738;3,371863852;0,063379763;318,641134;5,98938759;301335,3844;56954,27011;12323200298;343498969,6;191,5042644;0,012318165;1,261281623;0,086876321;3,653699241;-0,000960727;-5,692370421;0,758693156;10908563603;4822247,36;7,817881269;0,650751679;0,000351504;1,75272007;5,38265E-05;3;344,5258;1860,05261;235,5219896;1624,53062
Indent 89;28,003;28,004;29,661;26,743;193,3760869;3,428445903;3,950068876;0,027085718;373,2815088;2,559600381;293157,6544;58246,01407;10361038173;373399736,8;176,8093715;0,057172128;5,87579237;0,89649358;4,076086012;-0,000434888;-2,188052487;0,83108886;8530643920;6316733,994;12,11641574;0,922593167;0,000283616;1,814184145;0,000783136;2,339933061;342,0584509;2106,445458;323,0391435;1783,406314
Indent 90;28,003;24,003;29,378;22,857;182,438933;1,601180613;3,151581654;0,097593196;297,8244663;9,222557016;283807,248;52687,25217;11773110756;397857053,9;181,6459811;0,002712768;0,296404212;0,009304789;3,639084062;-0,001667794;-10,54880501;0,946690365;9862275292;6537159,22;11,06845813;0,875156995;0,000438738;1,701173922;0,000565142;2,471980906;350,7870122;1732,307732;206,1889512;1526,118781
Indent 91;28,003;20,003;28,994;18,937;170,2213182;3,483644768;3,384913602;0,064035657;319,8743354;6,051369556;264864,2472;53640,63287;9737919223;519485867,8;153,5026896;0,057482924;6,735107579;0,886885554;3,705851497;-0,001103467;-6,50176467;0,967235589;7162207721;8855955,399;18,13797856;0,946631525;0,000260231;1,80214055;8,36199E-05;2,787118088;335,6831958;1811,001555;256,0260387;1554,975517
Indent 92;28,003;16,002;28,744;15,018;202,5639286;5,889295413;4,401073545;0,44583832;415,90145;42,13172121;302989,3287;51761,11422;10108690894;562167877,4;230,2531697;-0,095046361;-9,358225849;0,88211178;6,600524471;-0,007549857;-34,21371479;0,971184989;7353197005;9458535,367;18,66161029;0,958727195;0,002385881;1,452996672;0,003729435;2,04073815;352,2620842;2334,506662;301,1484265;2033,358236
Indent 93;28,003;12,001;28,36;11,065;225,4557617;6,261406637;5,632002386;0,397190561;532,2242255;37,53450797;320384,8032;53563,26563;9402002174;281488937,1;255,8907862;-0,106786533;-9,418343068;0,93264443;7,6249434;-0,006992577;-24,68844874;0,993810677;8108389010;4538864,885;9,599448144;0,833678875;0,001286874;1,599289842;0,002447776;2,108716135;343,7714147;2845,725121;417,9153234;2427,809798
Indent 94;28,003;8,001;28,027;7,129;209,9738206;7,851600833;4,946827294;0,485764452;467,4751792;45,90474068;305842,0515;49876,5974;9534748203;370847524,7;248,2880544;-0,133266422;-12,68300408;0,968350361;7,346043794;-0,008345071;-33,71085982;0,992010054;7769458902;6140114,688;12,868674;0,921445521;0,001991208;1,500948044;0,001126649;2,278180547;345,2717254;2551,92242;349,645339;2202,277081
Indent 95;28,003;4,001;27,693;3,327;186,7181139;1,550148734;3,791962823;0,126017106;358,3404868;11,9086165;281136,2352;51922,23225;10177958737;311166243,8;188,8168528;-0,007322241;-0,783089439;0,071718959;4,39702428;-0,002110985;-11,11667318;0,901994505;8717848434;5094145,089;9,994576568;0,861490102;0,000469575;1,716432658;0,000926275;2,341695791;350,1075817;2019,294854;271,8012368;1747,493618
Indent 96;28,003;0;27,36;-0,559;206,8189629;2,121757145;3,477454074;0,0354076;328,61941;3,346018203;316000,6389;59890,68618;13171857419;286750608,3;201,7496161;0,017325933;1,671059534;0,221411406;3,612984784;-0,000463215;-2,657091941;0,568289677;12122880928;3585175,181;5,429364623;0,519051132;0,000250244;1,817748243;0,000124125;2,826243931;346,2662086;1905,631056;248,6483781;1656,982678
Indent 97;32,004;0;31,162;-1,009;197,9065041;1,814526816;3,163628116;0,145786741;298,9628569;13,77684703;305157,2794;56664,72348;13472554582;600722373,5;199,7952192;-0,006458968;-0,651622123;0,041928528;3,892028874;-0,002490962;-15,72079098;0,966069129;10571301380;9921613,568;14,70364849;0,9026661;0,000596975;1,64812974;6,92474E-05;3;352,3983387;1749,354097;193,429907;1555,92419
Indent 98;32,004;4,001;31,396;2,593;193,2100644;3,072062262;3,406624978;0,279432423;321,9260604;26,40636395;298053,6475;54682,43806;12053697634;774492940,9;203,419508;-0,034799266;-3,594337237;0,439619546;4,778626296;-0,004676517;-27,39534002;0,959595794;8276105105;12876063,71;21,31774736;0,946952436;0,001688913;1,475972668;5,24774E-05;3;347,7574149;1884,752871;226,1531862;1658,599684
Indent 99;32,004;8,001;31,746;6,396;186,5380786;1,947119349;4,281681501;0,223613692;404,6189019;21,13149386;281803,1489;51530,04005;9008669336;354055869,2;194,265008;-0,026596134;-2,839527677;0,622304613;5,392852883;-0,003824658;-17,7898935;0,975752303;7301075522;5877547,299;12,99363269;0,919178427;0,000946034;1,612242806;4,51189E-05;2,862277152;321,9301133;2261,390848;342,676883;1918,713965
Indent 100;32,004;12,001;32,113;10,232;181,349343;2,816717595;3,210309211;0,046625372;303,3742204;4,406097618;283134,0834;55321,13206;11436167700;432155857,7;170,1416828;0,038242835;4,200216711;0,61222271;3,411712686;-0,00068723;-4,263760717;0,721531746;9530402697;6502861,043;11,32560893;0,752010707;0,000231743;1,816093983;0,00013524;2,762190911;343,5268935;1749,514366;236,2454245;1513,268941
Indent 101;32,004;16,002;32,413;14,201;186,1742969;4,390500322;3,144635781;0,029247974;297,1680813;2,76393357;291678,958;59075,18298;12206663228;539203881,4;165,9664338;0,06868927;7,37194973;0,80815244;3,223382849;-0,000267672;-1,70077059;0,276539857;9663455467;8644708,419;14,15033018;0,848668717;0,000240225;1,808389985;5,94247E-05;3;347,8016455;1742,422099;225,0623346;1517,359764
Indent 102;32,004;20,003;32,68;18,187;183,5113537;3,468980456;3,578746875;0,014354886;338,1915797;1,3565367;282342,1611;56346,31451;10464211239;358393192,6;167,5075136;0,055046832;5,94572641;0,824952801;3,613102851;-0,000118171;-0,654508019;0,22201868;8813924748;5676327,869;10,75217943;0,821833018;0,000225989;1,83817802;0,000128664;2,751135664;358,7897855;1916,747112;265,4563577;1651,290755
Indent 103;32,004;24,003;33,063;22,139;195,0829166;2,179338655;3,502901597;0,127256303;331,0242009;12,02572062;298382,1143;53780,16403;11864636231;327572393,4;202,2364019;-0,024538263;-2,51116287;0,418178402;4,141258255;-0,002189725;-12,4799225;0,976661007;10439523174;4888498,097;8,225670812;0,734614875;0,000510935;1,69124898;0,002512592;2,155961275;354,590192;1908,840223;246,377154;1662,463069
Indent 104;32,004;28,004;33,38;26,025;177,9757316;1,410073021;3,856045348;0,171981739;364,3962854;16,25227437;272068,9274;51531,59595;9234021009;431283619;177,623201;0,001215022;0,136389197;0,002457566;4,707688671;-0,002935251;-15,207559;0,96415189;7166090007;7127274,434;15,4201672;0,90394249;0,000707116;1,646990379;0,000473394;2,467382114;344,0874251;2061,911956;296,8927392;1765,019217
Indent 105;32,004;32,004;33,647;29,878;231,5529413;3,026218973;5,239458471;0,331918022;495,1288255;31,36625311;334562,0883;60306,98784;10566678385;507271227,6;244,0524311;-0,043335019;-3,719270812;0,667569772;6,912677379;-0,005800955;-22,00301422;0,994389776;8110520576;8515359,261;16,01524534;0,917370701;0,00115714;1,609845124;5,354E-05;2,958335931;336,3339;2714,739137;395,007283;2319,731854
Indent 106;32,004;36,004;34,064;33,831;197,8269353;1,839693094;3,282421388;0,084835268;310,1888212;8,016932831;305803,9039;56610,86053;12959238050;368572993,3;197,5526804;0,000933523;0,094007869;0,000846346;3,689754818;-0,001386502;-8,414937159;0,877964729;11325553963;5560815,351;8,548378983;0,748202184;0,000422357;1,716171965;0,000987982;2,355479902;351,4835514;1811,556412;224,5356112;1587,020801
Indent 107;32,004;40,005;34,32;37,844;189,530863;2,236839275;3,211539678;0,103234655;303,4904996;9,755674851;292200,7687;53904,39225;12324548813;381471111,2;193,1990033;-0,012592303;-1,32767456;0,105887762;3,724164348;-0,001759781;-10,94994289;0,970893189;10762510498;5362297,649;8,694533716;0,660212164;0,000467146;1,693499332;5,3663E-05;3;345,5384624;1769,765113;225,6741524;1544,09096
Indent 108;32,004;44,006;34,687;41,814;178,5375696;2,67442225;2,905997653;0,063916119;274,6167783;6,040073213;280102,2726;54410,53159;12306391543;541408694,3;167,9895185;0,036081049;4,024970353;0,594230216;3,219592847;-0,001072695;-7,351809005;0,919577291;9747608896;8752665,35;14,16520113;0,853270189;0,000371018;1,718382369;7,99301E-05;2,905073466;347,657033;1613,570628;180,6473134;1432,923315
Indent 109;36,004;44,006;38,584;41,636;190,2652503;4,412366492;3,399316762;0,027683801;321,235434;2,61611917;293357,0612;59805,06311;11716750219;540931815,9;169,511898;0,071247366;7,482001046;0,856365797;3,527772614;-0,000440996;-2,592096952;0,833455297;9107440653;8957898,987;15,27592147;0,900724781;0,000274394;1,797015848;0,000209313;2,682447478;347,3153578;1865,263756;251,1483365;1614,115419
Indent 110;36,004;40,005;38,234;37,733;192,5642332;2,127761024;3,19669172;0,08014213;302,0873675;7,573431273;298268,4775;56935,55849;12719738917;495630040,8;185,6401598;0,023657961;2,452166911;0,404456757;3,594244745;-0,001358347;-8,481219383;0,939859283;10363374298;8051154,038;12,63363387;0,863304915;0,000379926;1,729746306;5,05336E-05;3;344,1940384;1763,822343;217,2507645;1546,571578
Indent 111;36,004;36,004;37,917;33,831;160,8919387;1,78346917;3,115142028;0,161580852;294,3809217;15,26939048;253816,4794;48012,45941;9615089471;531863183,1;159,4011515;0,005091053;0,629735215;0,026755393;3,913532245;-0,00272651;-17,41862878;0,934892905;7004250265;8916041,477;18,45454768;0,922723605;0,000654173;1,626302923;0,000245142;2,608832508;344,478755;1689,219532;217,4587158;1471,760816
Indent 112;36,004;32,004;37,6;29,978;183,4437578;6,423231073;4,127775095;0,499269004;390,0747464;47,18092091;278683,8873;46092,91303;9137573726;578730449;214,3290249;-0,105751391;-11,46027998;0,914384186;6,595556029;-0,008449701;-40,69465611;0,96622234;6290107745;9749745,324;21,21165011;0,957408983;0,003608577;1,368016002;0,001231534;2,251858035;348,790948;2191,445929;269,3348345;1922,111095
Indent 113;36,004;28,004;37,283;26,242;181,5937191;3,458936455;3,128340287;0,094253518;295,6281571;8,906957451;286555,2315;57211,31154;11770670614;571881471,6;170,274355;0,038248609;4,204591696;0,419392262;3,530242054;-0,001358043;-8,665797822;0,712042997;9025581147;9275773,124;15,73105759;0,902323942;0,000384625;1,724107855;4,94113E-05;3;343,3893958;1731,201176;229,9582282;1501,242948
Indent 114;36,004;24,003;36,949;22,223;209,4375456;2,412429511;3,812886531;0,172347178;360,3177772;16,28680835;315802,1898;57117,93153;12283955460;431768544,9;217,7592778;-0,028582163;-2,711612279;0,462481978;4,681694231;-0,002984043;-15,55027861;0,987678437;10279632158;6884131,154;11,13519782;0,837548867;0,000728947;1,642853395;0,000141326;2,7521094;344,2903816;2063,273532;260,1622762;1803,111256
Indent 115;36,004;20,003;36,666;18,337;175,3811619;3,283828196;2,997785835;0,086589357;283,2907614;8,182694203;277246,8201;54920,99228;11577035921;620696840,6;161,3081495;0,047784896;5,415536007;0,690415754;3,391444618;-0,001336668;-8,862508435;0,776977191;8484375232;10501125,44;18,02902381;0,933260496;0,000386703;1,715755162;0,000957644;2,360018977;351,6078094;1651,63804;206,1058255;1445,532215
Indent 116;36,004;16,002;36,349;14,368;170,7746722;2,038987742;3,199020991;0,226125085;302,3074836;21,36882054;269944,9638;50586,64791;10400149303;751840416,5;168,9700127;0,006107892;0,712172716;0,029027849;4,326413701;-0,003815674;-23,75043962;0,921099411;6593054307;12885158,72;24,66991539;0,950144454;0,001540237;1,482176043;0,001043356;2,321195477;350,9030812;1775,286839;213,7740246;1561,512815
Indent 117;36,004;12,002;35,965;10,532;191,2423506;1,948557329;3,641322097;0,069005355;344,1049382;6,521006049;294103,8089;57005,3944;11032720955;331272298,3;185,9217117;0,018175651;1,899820164;0,298195739;3,943685964;-0,001032895;-5,670267871;0,767881906;9599614716;4895584,89;8,870100383;0,74849133;0,000312889;1,783986145;6,44178E-05;2,878485186;335,7491098;1973,813876;292,6332335;1681,180643
Indent 118;36,004;8,001;35,632;6,562;189,1775836;4,260590099;3,382346963;0,039634596;319,631788;3,745469321;293726,6656;58756,0572;11657069694;396884610,3;169,3894872;0,067466897;7,10082399;0,810208414;3,320305165;0,00021153;1,245204345;0,09203396;9819933888;6263657,21;10,69858331;0,804789361;0,00021601;1,839078131;0,000889687;2,349036632;346,03168;1855,164306;265,6816824;1589,482624
Indent 119;36,004;4,001;35,332;2,81;210,3131518;3,764562068;4,945490059;0,455448987;467,3488106;43,03992931;306807,9596;55345,65487;9582383130;653109750,2;227,5698033;-0,060143351;-5,706185919;0,845179225;7,214226682;-0,007907063;-31,90292974;0,998052434;6391060799;11122483,37;23,16076815;0,960359163;0,001709121;1,527979272;0,001921086;2,193509674;354,1192744;2543,753435;334,2668982;2209,486537
Indent 120;36,004;0;34,981;-1,126;191,2168915;3,852027918;3,579079311;0,291696894;338,2229949;27,56535649;289695,7932;50726,66731;11265108156;602325615,7;208,5178885;-0,059919223;-6,242043969;0,795157395;5,03966809;-0,005058515;-28,15390125;0,988284537;8348721409;10100436,89;17,86042116;0,924096353;0,00120106;1,540559069;0,000118666;2,764794305;346,5990998;1916,870652;233,9951606;1682,875492
